time;flux;flux_err
3690,15321128711;1188,2191;5,3824263
3690,1546001975794;1192,8499;5,3909326
3690,1559891080487;1192,3582;5,4115143
3690,157378018461;1191,6469;5,4028697
3690,1587669289306;1191,9293;5,407768
3690,1601558394;1194,3834;5,4233775
3690,1615447498693;1200,2556;5,429925
3690,162933660339;1186,3944;5,4157352
3690,1643225708094;1192,9744;5,423677
3690,1657114812792;1198,7205;5,4384675
3690,167100391807;1192,9982;5,440413
3690,1684893022766;1195,1394;5,452416
3690,1698782128046;1187,3229;5,4450994
3690,171267123274;1185,5365;5,44565
3690,1726560338025;1188,044;5,4515667
3690,174044944272;1200,8982;5,471422
3690,1754338548;1206,7577;5,4792657
3690,1768227653283;1190,7384;5,472115
3690,178211675856;1195,1858;5,4830346
3690,1796005863835;1196,4874;5,485377
3690,180989496912;1209,4476;5,5086894
3690,182378407498;1196,1339;5,499547
3690,1837673180257;1207,1024;5,5143704
3690,185156228554;1188,4249;5,505865
3690,18654513914;1196,8679;5,514698
3690,187934049668;1196,3956;5,521847
3690,1893229602547;1194,4297;5,5225835
3690,1907118708405;1191,4642;5,5298576
3690,1921007814262;1199,0134;5,5480566
3690,1934896919547;1195,9424;5,542312
3690,194878602541;1194,1038;5,5448756
3690,1962675131267;1193,0675;5,5527062
3690,1976564237134;1201,5126;5,5594893
3690,1990453343574;1189,4945;5,558119
3690,2004342449436;1193,1833;5,5609374
3690,20182315553;1190,8639;5,563322
3690,203212066174;1188,3369;5,567271
3690,20460097676;1187,2758;5,573892
3690,205989887405;1196,0002;5,5909038
3690,2073787980494;1198,1084;5,587809
3690,208767708635;1192,7133;5,5938325
3690,21015661928;1195,4996;5,5934196
3690,211545529924;1196,7964;5,595999
3690,2129344405685;1197,9641;5,6077676
3690,214323351213;1210,4895;5,6157346
3690,215712261857;1193,7053;5,608279
3690,2171011725595;1190,8408;5,610554
3690,2184900832044;1200,7064;5,6259646
3690,219878993907;1198,027;5,618829
3690,221267904551;1199,1909;5,6249413
3690,222656815196;1203,1332;5,6345325
3690,224045725898;1188,215;5,62092
3690,2254346366003;1203,2759;5,6440973
3690,2268235473034;1196,3474;5,63655
3690,2282124580056;1200,0966;5,63956
3690,2296013687082;1199,624;5,6398573
3690,2309902794113;1195,1017;5,6409044
3690,232379190114;1200,489;5,649734
3690,233768100816;1192,639;5,652501
3690,2351570115775;1194,3528;5,646219
3690,2365459222797;1193,5474;5,647672
3690,23793483304;1195,0648;5,653332
3690,239323743743;1201,3414;5,655875
3690,2407126545036;1195,765;5,653908
3690,2421015652644;1196,3177;5,658394
3690,2434904759675;1195,646;5,6583433
3690,2448793867284;1194,9437;5,659797
3690,2462682974888;1200,9192;5,6664395
3690,24765720825;1191,803;5,664027
3690,2490461190105;1203,2523;5,6721597
3690,250435029829;1205,3568;5,6784415
3690,2518239405904;1193,7122;5,665572
3690,253212851351;1192,6864;5,676002
3690,25460176217;1189,3888;5,6721554
3690,255990672931;1198,7351;5,674035
3690,25737958375;1190,5336;5,667695
3690,258768494569;1196,555;5,680822
3690,2601574053883;1195,5736;5,6768084
3690,261546316207;1200,1295;5,679987
3690,2629352269673;1190,7542;5,6786675
3690,264324137787;1192,2335;5,6843367
3690,2657130486637;1183,1135;5,6712904
3690,2671019594827;1205,3025;5,6972637
3690,2684908703022;1190,7233;5,689198
3690,2698797811213;1197,6027;5,696088
3690,271268691998;1196,1198;5,693634
3690,2726576028176;1198,3569;5,69573
3690,2740465136944;1190,4703;5,6865892
3690,2754354245712;1206,5272;5,705284
3690,2768243353908;1198,454;5,70615
3690,2782132462676;1185,8046;5,6968703
3690,279602157145;1187,384;5,697655
3690,280991068022;1193,821;5,7096815
3690,282379978899;1198,6854;5,7117476
3690,283768889835;1199,1464;5,712927
3690,2851578007117;1198,7506;5,7154493
3690,2865467115885;1191,7542;5,7090635
3690,2879356225244;1197,0763;5,7187614
3690,289324533401;1194,7102;5,714293
3690,2907134443367;1200,6646;5,7224727
3690,2921023552144;1204,1573;5,7289114
3690,29349126615;1189,3352;5,722006
3690,294880177085;1190,9244;5,718248
3690,296269088021;1198,7479;5,7299557
3690,297657998956;1193,8761;5,7247205
3690,299046909891;1193,3926;5,7228084
3690,300435820827;1191,3086;5,723403
3690,301824731762;1196,4341;5,733096
3690,3032136426973;1191,3363;5,727664
3690,3046025536914;1187,0327;5,732993
3690,305991464627;1189,7826;5,742886
3690,30738037562;1196,8716;5,737195
3690,3087692865556;1200,3822;5,749841
3690,3101581975493;1189,1631;5,725514
3690,3115471085425;1197,6266;5,7408576
3690,3129360194785;1186,6815;5,7249794
3690,31432493053;1195,5149;5,72953
3690,3157138415236;1187,239;5,729171
3690,3171027525177;1202,8177;5,742037
